ensembl_gene_id	ensembl_transcript_id
ENSG00000146278	ENST00000336032
ENSG00000090372	ENST00000391910
ENSG00000165271	ENST00000297990
ENSG00000163539	ENST00000468888
ENSG00000161542	ENST00000446526
ENSG00000168028	ENST00000301821
ENSG00000116213	ENST00000270708
ENSG00000072110	ENST00000394419
ENSG00000173744	ENST00000409979
ENSG00000162378	ENST00000294353
ENSG00000149136	ENST00000278412
ENSG00000100865	ENST00000559514
ENSG00000137547	ENST00000260102
ENSG00000138175	ENST00000260746
ENSG00000119801	ENST00000261353
ENSG00000035141	ENST00000037869
ENSG00000149089	ENST00000395787
ENSG00000116898	ENST00000373116
ENSG00000146281	ENST00000275072
ENSG00000103202	ENST00000219479
ENSG00000165264	ENST00000379847
ENSG00000013561	ENST00000347642
ENSG00000142871	ENST00000451137
ENSG00000082641	ENST00000362042
ENSG00000101966	ENST00000371199
ENSG00000110435	ENST00000227868
ENSG00000104412	ENST00000220853
ENSG00000114353	ENST00000313601
ENSG00000198301	ENST00000356260
ENSG00000187778	ENST00000357123
ENSG00000160213	ENST00000291568
ENSG00000119280	ENST00000366663
ENSG00000108468	ENST00000393408
ENSG00000105281	ENST00000542575
ENSG00000139641	ENST00000394048
ENSG00000197043	ENST00000354546
ENSG00000155008	ENST00000373173
ENSG00000101972	ENST00000218089
ENSG00000174371	ENST00000366548
ENSG00000135269	ENST00000358204
ENSG00000112249	ENST00000369162
ENSG00000120889	ENST00000276431
ENSG00000002549	ENST00000618908
ENSG00000132153	ENST00000445061
ENSG00000169718	ENST00000306796
ENSG00000135446	ENST00000257904
ENSG00000198833	ENST00000435041
ENSG00000100227	ENST00000252115
ENSG00000103363	ENST00000262306
ENSG00000172354	ENST00000303210
ENSG00000167978	ENST00000301740
ENSG00000117174	ENST00000370574
ENSG00000163807	ENST00000296121
ENSG00000120526	ENST00000239690
ENSG00000042753	ENST00000263270
ENSG00000175931	ENST00000319380
ENSG00000136986	ENST00000259512
ENSG00000136238	ENST00000356142
ENSG00000090266	ENST00000247866
ENSG00000055070	ENST00000401088
ENSG00000179115	ENST00000314606
ENSG00000037280	ENST00000261937
ENSG00000173894	ENST00000310942
ENSG00000144591	ENST00000313597
ENSG00000181555	ENST00000409792
ENSG00000156787	ENST00000287380
ENSG00000130748	ENST00000253047
ENSG00000164091	ENST00000296490
ENSG00000141582	ENST00000269397
ENSG00000142230	ENST00000270225
ENSG00000104368	ENST00000220809
ENSG00000119812	ENST00000238823
ENSG00000121073	ENST00000649906
ENSG00000139546	ENST00000394357
ENSG00000131351	ENST00000253669
ENSG00000108384	ENST00000337432
ENSG00000092108	ENST00000458591
ENSG00000130749	ENST00000253048
ENSG00000146457	ENST00000358372
ENSG00000131051	ENST00000253363
ENSG00000101294	ENST00000398174
ENSG00000087269	ENST00000314262
ENSG00000160058	ENST00000455895
ENSG00000197170	ENST00000356126
ENSG00000090061	ENST00000389879
ENSG00000162231	ENST00000294172
ENSG00000102189	ENST00000322349
ENSG00000136504	ENST00000259021
ENSG00000140718	ENST00000471389
ENSG00000169710	ENST00000306749
ENSG00000120438	ENST00000321394
ENSG00000169020	ENST00000304312
ENSG00000182628	ENST00000330137
ENSG00000125037	ENST00000245046
ENSG00000136628	ENST00000366923
ENSG00000135045	ENST00000376854
ENSG00000131446	ENST00000307826
ENSG00000120533	ENST00000521688
ENSG00000161980	ENST00000293860
ENSG00000144554	ENST00000287647
ENSG00000175643	ENST00000312499
ENSG00000110429	ENST00000265651
ENSG00000120437	ENST00000367048
ENSG00000181789	ENST00000314797
ENSG00000168175	ENST00000395468
ENSG00000148803	ENST00000278025
ENSG00000130695	ENST00000252992
ENSG00000112096	ENST00000367055
ENSG00000076924	ENST00000358368
ENSG00000179950	ENST00000526683
ENSG00000106682	ENST00000265753
ENSG00000137522	ENST00000361756
ENSG00000187514	ENST00000409115
ENSG00000196743	ENST00000357164
ENSG00000133740	ENST00000416274
ENSG00000130935	ENST00000253247
ENSG00000005175	ENST00000005386
ENSG00000172315	ENST00000372114
ENSG00000025772	ENST00000372813
ENSG00000143643	ENST00000366661
ENSG00000100600	ENST00000334869
ENSG00000060688	ENST00000263694
ENSG00000105402	ENST00000263354
