gene_id	log2foldchange	group
ENSG00000132376	-0.061101920314552	others N = 3048
ENSG00000204178	0.185276529021199	others N = 3048
ENSG00000089053	-0.362352613643589	others N = 3048
ENSG00000157212	-0.605315708679172	others N = 3048
ENSG00000176788	0.937576761337132	others N = 3048
ENSG00000156735	0.617685305616917	others N = 3048
ENSG00000177181	-0.620823229317443	others N = 3048
ENSG00000134250	0.426444206112899	others N = 3048
ENSG00000104517	-0.037043669081413	others N = 3048
ENSG00000176444	0.249045169201033	others N = 3048
ENSG00000170854	-0.642856993715868	others N = 3048
ENSG00000183087	-1.719213969153041	others N = 3048
ENSG00000117682	0.002714498372876	others N = 3048
ENSG00000140396	-0.0907613745456	others N = 3048
ENSG00000170370	0.667654360883566	others N = 3048
ENSG00000188976	-0.177345264356406	others N = 3048
ENSG00000122565	-0.114461169208675	others N = 3048
ENSG00000179598	0.112943661281537	others N = 3048
ENSG00000132300	0.236747915487884	others N = 3048
ENSG00000172380	0.220411114632483	others N = 3048
ENSG00000204569	-0.297331005992376	others N = 3048
ENSG00000198805	0.662083428757904	others N = 3048
ENSG00000188191	-0.728480617741995	others N = 3048
ENSG00000151136	-0.574089708665983	others N = 3048
ENSG00000164818	-0.382328088273671	others N = 3048
ENSG00000110042	-1.014270890875737	others N = 3048
ENSG00000196497	-0.527609228172767	others N = 3048
ENSG00000198900	-0.476803612222628	others N = 3048
ENSG00000109519	-0.248357940500093	others N = 3048
ENSG00000113387	-0.193467304233536	others N = 3048
ENSG00000176454	0.41455544020185	others N = 3048
ENSG00000153317	0.476329677963203	others N = 3048
ENSG00000170142	-0.363484143325491	others N = 3048
ENSG00000165733	-0.204176472098941	others N = 3048
ENSG00000172175	0.564702631335385	others N = 3048
ENSG00000243279	1.089777181614363	others N = 3048
ENSG00000170500	-0.183787879411305	others N = 3048
ENSG00000163430	0.019105439703067	others N = 3048
ENSG00000005339	0.282527084533971	others N = 3048
ENSG00000116685	-0.105936134593992	others N = 3048
ENSG00000067177	0.278783938588724	others N = 3048
ENSG00000065154	-0.939006204669073	others N = 3048
ENSG00000111530	0.18941248007876	others N = 3048
ENSG00000149177	0.283371454416916	others N = 3048
ENSG00000166226	-0.325558997568007	others N = 3048
ENSG00000135069	-0.507534885801496	others N = 3048
ENSG00000023516	0.319992327867448	others N = 3048
ENSG00000144730	0.189491944876229	others N = 3048
